direccion;tel;horario;lat;lon
J.F Aranguren 2701;4611-5483;De 8:30 a 13:30;-34.624296;-58.469421
Alte. Brown 240;4362-2127;De 8:30 a 13:30;-34.628453;-58.366023
Av. Díaz Vélez 5044;4982-4226;De 8:30 a 13:30;-34.608875;-58.437888
Cerviño 3356;4808-2622;De 8:30 a 13:30;-34.581044;-58.406761
Av. Varela 1301;4631-8100;De 8:30 a 13:30;-34.644127;-58.453676
Av. Las Heras 2670;4809-2018;De 8:30 a 13:30;-34.584357;-58.40081
Monroe3555;4542-9906;De 8:30 a 13:30;-34.565108;-58.470987
Pilar 950;4642-4075;De 8:30 a 13:30;-34.649358;-58.515802
C. De la Barca 1550;4639-8700;De 8:30 a 13:30;-34.625231;-58.5075
Uspallata 3400;4909-4168;De 8:30 a 13:30;-34.639512;-58.411664
E. De Luca 2151;4943-5580;De 8:30 a 13:30;-34.634827;-58.402537
P. Chutro 3380;4911-0882;De 8:30 a 13:30;-34.643057;-58.411412
Urquiza 609;4127-0289;De 8:30 a 13:30;-34.617625;-58.409398
Avellaneda 551;4902-7076/89;De 8:30 a 13:30;-34.614445;-58.438993
